new_step_RH1,new_step_Temp1,within_limits,flag_internal_temp
68.48,33.31,True,0
66.41,33.8,True,0
66.23,34.05,True,0
65.37,34.3,True,0
65.52,34.27,True,0
61.24,34.42,True,0
61.76,34.51,True,0
63.65,34.9,True,0
57.04,35.73,True,0
61.91,35.44,True,0
59.54,34.87,True,0
55.79,35.51,True,0
56.51,35.38,True,0
58.82,35.16,True,0
58.36,35.12,True,0
57.09,34.77,True,0
60.34,34.94,True,0
57.34,35.36,True,0
58.5,35.39,True,0
61.12,35.22,True,0
56.86,35.37,True,0
56.68,35.2,True,0
57.59,35.09,True,0
58.85,34.78,True,0
59.32,34.48,True,0
62.4,34.12,True,0
63.53,33.57,True,0
65.62,33.0,True,0
67.26,32.65,True,0
67.9,32.26,True,0
68.74,32.32,True,0
68.86,32.15,True,0
70.18,31.99,True,0
71.71,31.76,True,0
74.3,31.39,True,0
78.0,30.72,True,0
80.49,30.43,True,0
78.44,30.73,True,0
78.89,30.9,True,0
79.83,30.74,True,0
80.07,30.66,True,0
80.1,30.52,True,0
80.45,30.23,True,0
81.54,30.14,True,0
80.6,29.97,True,0
80.94,29.78,True,0
79.93,29.82,True,0
80.0,29.75,True,0
80.57,29.71,True,0
80.94,29.53,True,0
80.09,29.62,True,0
78.61,29.8,True,0
79.2,29.68,True,0
80.65,29.52,True,0
80.13,29.38,True,0
81.28,29.2,True,0
81.44,29.12,True,0
81.14,29.07,True,0
81.83,28.92,True,0
81.99,28.84,True,0
81.14,28.8,True,0
80.86,28.72,True,0
82.79,28.55,True,0
83.67,28.41,True,0
83.92,28.35,True,0
83.91,28.3,True,0
84.72,28.1,True,0
85.68,28.05,True,0
86.45,27.95,True,0
86.9,27.95,True,0
87.5,27.85,True,0
87.54,27.78,True,0
85.53,28.03,True,0
86.78,27.94,True,0
88.19,27.71,True,0
84.24,27.87,True,0
78.44,28.4,True,0
79.44,28.46,True,0
83.08,27.52,True,0
87.04,27.11,True,0
88.86,26.85,True,0
87.82,27.44,True,0
87.47,28.0,True,0
84.22,28.68,True,0
81.22,29.17,True,0
81.48,29.71,True,0
77.85,30.42,True,0
76.41,31.09,True,0
75.44,31.88,True,0
71.82,32.18,True,0
72.93,32.58,True,0
69.1,32.65,True,0
70.56,32.94,True,0
68.27,33.48,True,0
67.65,33.5,True,0
67.35,33.7,True,0
66.27,33.93,True,0
64.09,34.32,True,0
61.44,34.68,True,0
60.62,34.69,True,0
60.46,34.69,True,0
61.2,34.55,True,0
59.21,35.25,True,0
60.27,35.08,True,0
58.27,34.91,True,0
58.0,35.28,True,0
55.62,35.27,True,0
59.02,35.24,True,0
55.67,35.15,True,0
55.91,35.02,True,0
54.1,35.22,True,0
59.46,35.22,True,0
59.73,34.88,True,0
61.26,34.95,True,0
59.85,34.84,True,0
62.41,34.8,True,0
63.64,34.85,True,0
63.44,34.55,True,0
62.27,34.52,True,0
63.31,34.11,True,0
65.75,33.77,True,0
66.42,33.36,True,0
67.02,32.87,True,0
69.17,32.49,True,0
72.01,32.2,True,0
74.07,31.8,True,0
75.38,31.72,True,0
75.12,31.64,True,0
75.21,31.46,True,0
75.78,31.36,True,0
76.34,31.3,True,0
76.37,31.15,True,0
77.73,30.98,True,0
78.21,30.74,True,0
79.34,30.5,True,0
80.53,30.31,True,0
81.16,30.16,True,0
81.56,29.98,True,0
82.16,29.78,True,0
81.98,29.92,True,0
82.97,29.64,True,0
84.33,29.44,True,0
84.47,29.27,True,0
83.9,29.58,True,0
84.82,29.33,True,0
85.33,29.04,True,0
83.82,29.21,True,0
83.86,29.37,True,0
84.12,29.28,True,0
85.07,29.14,True,0
85.66,28.97,True,0
86.76,28.85,True,0
87.53,28.72,True,0
87.62,28.63,True,0
87.56,28.64,True,0
87.84,28.61,True,0
88.43,28.47,True,0
88.48,28.44,True,0
88.68,28.36,True,0
89.28,28.26,True,0
90.13,28.11,True,0
88.41,28.26,True,0
87.42,28.37,True,0
89.27,28.11,True,0
90.08,27.98,True,0
89.99,28.1,True,0
90.77,27.98,True,0
91.08,27.87,True,0
91.16,27.75,True,0
92.2,27.48,True,0
93.51,27.2,True,0
92.9,27.43,True,0
91.51,27.82,True,0
89.32,28.2,True,0
88.38,28.75,True,0
85.1,29.29,True,0
79.88,29.85,True,0
73.19,30.62,True,0
71.87,30.78,True,0
72.38,30.98,True,0
70.7,31.18,True,0
70.69,31.46,True,0
69.93,31.98,True,0
64.87,32.23,True,0
63.9,32.58,True,0
64.75,32.84,True,0
66.72,33.46,True,0
62.54,33.65,True,0
61.32,33.7,True,0
63.02,33.72,True,0
61.25,33.87,True,0
61.14,34.14,True,0
61.44,34.43,True,0
61.0,34.68,True,0
61.11,34.79,True,0
62.67,34.48,True,0
58.2,34.64,True,0
57.81,35.3,True,0
60.2,35.43,True,0
61.47,34.62,True,0
57.25,35.62,True,0
58.44,35.88,True,0
59.14,35.61,True,0
60.02,35.5,True,0
56.86,35.84,True,0
55.97,35.87,True,0
58.69,36.02,True,0
55.76,35.78,True,0
57.49,35.92,True,0
51.7,36.26,True,0
50.89,36.08,True,0
51.46,35.67,True,0
56.03,35.66,True,0
58.43,35.6,True,0
61.03,35.27,True,0
58.87,34.89,True,0
60.37,33.88,True,0
63.58,33.49,True,0
69.72,33.17,True,0
69.68,32.81,True,0
69.0,32.6,True,0
67.56,32.1,True,0
73.1,29.68,True,0
74.52,29.28,True,0
75.54,29.22,True,0
75.46,29.24,True,0
76.24,29.29,True,0
75.69,29.2,True,0
77.61,29.09,True,0
76.88,29.12,True,0
76.78,29.19,True,0
77.11,29.1,True,0
75.55,29.26,True,0
76.88,29.25,True,0
80.11,29.14,True,0
80.54,28.86,True,0
81.98,28.68,True,0
80.22,28.55,True,0
75.18,28.72,True,0
73.63,28.68,True,0
75.77,28.58,True,0
77.63,28.31,True,0
79.57,28.11,True,0
80.22,28.04,True,0
80.66,28.05,True,0
80.7,27.95,True,0
82.13,27.77,True,0
82.56,27.64,True,0
82.88,27.54,True,0
82.53,27.62,True,0
83.86,27.42,True,0
83.76,27.37,True,0
83.85,27.39,True,0
84.25,27.28,True,0
84.64,27.24,True,0
84.81,27.23,True,0
85.03,27.19,True,0
84.81,27.22,True,0
83.94,27.28,True,0
84.94,27.32,True,0
85.55,27.12,True,0
86.29,27.01,True,0
86.49,26.9,True,0
87.06,26.93,True,0
88.43,26.69,True,0
89.46,26.45,True,0
89.85,26.46,True,0
87.16,26.99,True,0
87.12,27.18,True,0
88.23,27.15,True,0
87.22,27.52,True,0
84.25,28.29,True,0
83.88,28.7,True,0
82.85,28.98,True,0
82.2,29.43,True,0
80.85,29.91,True,0
77.33,30.76,True,0
76.95,31.22,True,0
76.2,32.11,True,0
71.9,32.91,True,0
72.54,32.94,True,0
71.93,33.12,True,0
68.67,33.33,True,0
71.33,33.33,True,0
64.93,33.7,True,0
67.98,33.8,True,0
67.17,33.92,True,0
66.5,34.2,True,0
68.05,34.54,True,0
65.54,34.6,True,0
64.66,34.93,True,0
61.05,34.77,True,0
60.83,35.24,True,0
55.48,35.4,True,0
53.95,35.32,True,0
57.49,35.52,True,0
59.46,35.62,True,0
54.59,35.48,True,0
55.5,35.77,True,0
48.74,35.99,True,0
49.08,36.34,True,0
51.83,36.02,True,0
53.64,35.91,True,0
51.89,35.96,True,0
51.62,35.93,True,0
52.48,36.02,True,0
54.55,36.12,True,0
56.59,35.71,True,0
57.47,35.6,True,0
57.88,35.56,True,0
61.36,34.97,True,0
61.7,34.5,True,0
64.43,33.9,True,0
65.8,33.51,True,0
68.3,32.99,True,0
70.68,32.26,True,0
72.76,31.4,True,0
73.38,30.7,True,0
70.66,30.29,True,0
71.2,30.13,True,0
74.97,29.8,True,0
75.34,29.42,True,0
76.71,29.14,True,0
76.97,28.98,True,0
77.01,28.88,True,0
78.8,29.04,True,0
79.92,28.82,True,0
79.62,28.46,True,0
80.43,28.32,True,0
83.66,28.21,True,0
85.17,28.06,True,0
84.92,28.22,True,0
82.0,28.22,True,0
83.85,28.05,True,0
84.98,27.71,True,0
88.03,27.61,True,0
89.48,27.46,True,0
88.19,27.33,True,0
89.85,27.25,True,0
90.36,27.17,True,0
85.36,28.16,True,0
83.85,28.55,True,0
83.02,28.71,True,0
81.21,28.72,True,0
81.81,28.95,True,0
82.96,28.96,True,0
84.35,28.76,True,0
85.27,28.5,True,0
84.94,28.46,True,0
84.9,28.38,True,0
85.18,28.38,True,0
86.81,28.07,True,0
86.17,27.96,True,0
85.81,28.12,True,0
87.72,27.73,True,0
89.08,27.42,True,0
89.55,27.28,True,0
90.0,27.19,True,0
91.12,27.11,True,0
91.73,26.9,True,0
92.98,26.61,True,0
93.13,26.69,True,0
92.6,26.88,True,0
91.95,27.12,True,0
91.07,27.36,True,0
90.16,27.86,True,0
87.73,28.62,True,0
84.08,29.59,True,0
80.43,30.4,True,0
80.4,30.98,True,0
78.49,31.26,True,0
76.39,31.56,True,0
75.56,31.9,True,0
72.1,32.85,True,0
71.68,33.21,True,0
69.18,33.76,True,0
66.64,34.08,True,0
63.29,34.96,True,0
59.73,35.08,True,0
57.65,35.03,True,0
58.5,34.52,True,0
58.43,34.73,True,0
61.39,34.73,True,0
61.08,34.98,True,0
61.04,34.94,True,0
60.44,34.93,True,0
58.48,35.03,True,0
62.19,34.98,True,0
56.04,35.45,True,0
56.98,35.11,True,0
52.72,35.12,True,0
54.0,35.46,True,0
54.93,34.97,True,0
57.62,35.32,True,0
55.86,35.55,True,0
55.77,35.4,True,0
59.84,35.4,True,0
58.48,35.47,True,0
54.82,35.29,True,0
56.75,35.07,True,0
54.22,35.38,True,0
56.67,35.19,True,0
58.07,34.87,True,0
57.01,35.06,True,0
60.61,35.0,True,0
58.95,34.76,True,0
61.88,34.64,True,0
62.69,33.99,True,0
63.7,33.63,True,0
65.31,33.17,True,0
68.18,32.66,True,0
69.58,32.25,True,0
70.77,31.9,True,0
71.9,31.63,True,0
71.75,31.48,True,0
73.21,31.36,True,0
75.01,31.07,True,0
74.29,30.9,True,0
72.2,31.42,True,0
71.51,31.66,True,0
72.62,31.43,True,0
76.34,30.88,True,0
76.8,30.5,True,0
78.56,30.15,True,0
81.3,29.84,True,0
81.33,29.56,True,0
82.35,29.59,True,0
84.43,29.22,True,0
86.5,28.92,True,0
88.44,28.54,True,0
84.11,29.23,True,0
84.93,29.16,True,0
86.82,28.98,True,0
86.18,28.88,True,0
86.12,28.87,True,0
83.91,29.34,True,0
83.23,29.51,True,0
84.21,29.39,True,0
83.98,29.3,True,0
84.17,29.22,True,0
83.85,29.23,True,0
83.91,29.22,True,0
84.95,29.01,True,0
84.98,29.03,True,0
85.83,28.85,True,0
86.82,28.71,True,0
87.02,28.73,True,0
88.22,28.55,True,0
88.97,28.38,True,0
89.5,28.28,True,0
89.76,28.18,True,0
90.24,28.1,True,0
90.16,28.2,True,0
90.6,28.08,True,0
90.55,28.09,True,0
90.61,28.02,True,0
91.41,27.86,True,0
91.72,27.76,True,0
92.08,27.68,True,0
91.78,27.78,True,0
91.31,27.93,True,0
90.36,28.14,True,0
88.97,28.52,True,0
86.66,29.16,True,0
84.34,29.72,True,0
81.38,30.34,True,0
78.89,30.76,True,0
77.2,31.29,True,0
74.06,31.57,True,0
73.86,31.78,True,0
72.09,32.13,True,0
69.72,32.83,True,0
70.22,33.05,True,0
69.12,33.1,True,0
69.22,33.29,True,0
64.05,33.48,True,0
64.83,33.7,True,0
64.07,33.97,True,0
60.05,33.87,True,0
60.63,34.1,True,0
62.03,34.37,True,0
59.37,34.41,True,0
59.27,34.39,True,0
59.2,34.33,True,0
56.86,34.91,True,0
55.51,34.96,True,0
57.26,35.02,True,0
57.46,34.67,True,0
57.71,34.82,True,0
56.7,35.38,True,0
54.23,35.25,True,0
56.57,35.12,True,0
56.05,35.12,True,0
56.23,35.49,True,0
55.78,35.49,True,0
53.91,35.52,True,0
54.1,35.51,True,0
53.58,35.48,True,0
55.5,35.32,True,0
56.41,35.17,True,0
57.2,35.08,True,0
55.65,35.04,True,0
57.64,34.58,True,0
59.14,34.34,True,0
59.62,34.17,True,0
61.68,33.8,True,0
63.63,33.43,True,0
65.75,32.87,True,0
71.5,31.92,True,0
74.03,31.24,True,0
74.4,30.98,True,0
75.55,30.78,True,0
78.68,30.44,True,0
80.0,30.01,True,0
83.2,29.65,True,0
84.43,29.37,True,0
85.8,29.1,True,0
86.49,28.91,True,0
87.48,28.76,True,0
88.88,28.6,True,0
89.05,28.49,True,0
90.21,28.32,True,0
90.81,28.13,True,0
90.1,27.97,True,0
90.22,27.88,True,0
88.74,27.77,True,0
90.94,27.74,True,0
91.36,27.68,True,0
92.7,27.72,True,0
92.49,27.76,True,0
92.21,27.73,True,0
90.3,27.99,True,0
89.81,28.17,True,0
90.66,28.2,True,0
91.41,27.98,True,0
91.61,27.76,True,0
92.73,27.61,True,0
92.13,27.66,True,0
91.42,27.93,True,0
91.15,27.94,True,0
89.48,27.92,True,0
86.92,28.05,True,0
87.62,27.89,True,0
88.7,27.6,True,0
90.83,27.32,True,0
93.23,26.97,True,0
93.69,26.73,True,0
94.07,26.5,True,0
95.04,26.36,True,0
95.72,26.26,True,0
96.42,26.37,True,0
95.93,26.46,True,0
95.93,26.36,True,0
95.96,26.38,True,0
95.62,26.42,True,0
95.29,26.51,True,0
93.77,26.93,True,0
88.11,27.82,True,0
84.11,29.09,True,0
75.49,30.02,True,0
70.45,31.17,True,0
68.07,31.64,True,0
68.0,31.95,True,0
68.33,32.62,True,0
63.82,32.69,True,0
65.59,33.22,True,0
62.75,33.77,True,0
63.69,34.14,True,0
60.38,34.55,True,0
58.26,34.88,True,0
57.73,34.74,True,0
54.24,35.08,True,0
52.52,35.85,True,0
50.56,35.84,True,0
51.1,35.92,True,0
50.35,36.23,True,0
53.11,36.07,True,0
48.45,36.3,True,0
48.32,36.06,True,0
47.34,36.2,True,0
50.07,36.12,True,0
50.06,36.0,True,0
48.29,36.13,True,0
48.52,36.41,True,0
48.24,36.49,True,0
48.99,36.73,True,0
49.39,36.69,True,0
51.21,36.58,True,0
47.42,36.55,True,0
49.86,36.5,True,0
48.05,36.82,True,0
48.23,36.94,True,0
48.56,36.97,True,0
52.93,37.16,True,0
49.12,36.98,True,0
50.89,37.14,True,0
51.05,36.83,True,0
56.56,35.97,True,0
57.51,35.17,True,0
58.74,34.68,True,0
58.65,34.46,True,0
58.29,34.23,True,0
57.05,33.61,True,0
65.68,32.79,True,0
67.67,31.81,True,0
70.91,30.99,True,0
73.96,30.41,True,0
76.48,30.09,True,0
78.08,29.98,True,0
78.33,29.87,True,0
79.75,29.65,True,0
79.9,29.53,True,0
79.97,29.46,True,0
81.51,29.45,True,0
82.32,29.33,True,0
82.5,29.22,True,0
